Issuer,RIC,Exchange,TRBC Sector,GICS Sector,Market Cap (USD),Price to Book Ratio,% Price Change Year To Date,% Price Change Relative to Index YTD,% Price Change Relative to Sector YTD,% Price Change 1Y
SBA Communications Corp,SBAC.O,NASDAQ Global Select Consolidated,Specialized REITs (NEC),"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Telecom Tower REITs",19892486839,--,-2.786538,2.212066,--,-12.360179
HF Sinclair Corp,DINO.K,NYSE Consolidated,Petroleum Refining,"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Refining & Marketing",10046624711,1.093927,20.94184,24.831672,-12.440371,79.542526
Leidos Holdings Inc,LDOS.K,NYSE Consolidated,IT Services & Consulting (NEC),"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services",21974632040,4.470023,-3.625277,-0.525593,3.653894,30.859551
Advanced Energy Industries Inc,AEIS.O,NASDAQ Global Select Consolidated,Electrical Components & Equipment (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments",11401553999,8.366271,44.251803,51.669064,16.251277,197.234524
Ralph Lauren Corp,RL,NYSE Consolidated,Apparel & Accessories (NEC),"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Apparel, Accessories & Luxury Goods",20021207871,7.734676,-6.470405,-3.462229,-1.143934,52.635222
National Grid PLC,NG.L,London Stock Exchange,Multiline Utilities,"Utilities, Multi-Utilities",90281047708,1.80623,20.324135,16.457191,2.851437,43.61146
NiSource Inc,NI,NYSE Consolidated,Multiline Utilities,"Utilities, Multi-Utilities",22677686973,2.39973,13.481801,17.131697,2.567269,22.54978
Solstice Advanced Materials Inc,SOLS.O,NASDAQ Global Select Consolidated,Specialty Chemicals (NEC),"Materials, Chemicals, Specialty Chemicals",11623495244,8.237771,50.720461,58.470333,46.385362,--
Somnigroup International Inc,SGI,NYSE Consolidated,Furniture,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Home Furnishings",16183607610,5.207081,-13.821685,-11.049946,--,40.043684
Hyundai Engineering & Construction Co Ltd,000720.KS,Korea Exchange - KSE,Construction & Engineering (NEC),"Industrials, Capital Goods, Construction & Engineering",12314855153,2.661809,134.522111,80.111686,33.635715,408.978328
Nutrien Ltd,NTR.TO,The Toronto Stock Exchange,Agricultural Chemicals Wholesale,"Materials, Chemicals, Fertilizers & Agricultural Chemicals",39910388562,1.576053,34.313031,30.890728,2.1e-05,57.429441
Jack Henry & Associates Inc,JKHY.O,NASDAQ Global Select Consolidated,IT Services & Consulting (NEC),"Financials, Financial Services, Transaction & Payment Processing Services",12179686697,5.71593,-7.513152,-2.757585,--,-3.736026
Rollins Inc,ROL,NYSE Consolidated,Pest Control Services,"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Environmental & Facilities Services",26522614143,19.298704,-8.147284,-5.193041,-11.160184,8.673369
Aptiv PLC,APTV.K,NYSE Consolidated,"Auto, Truck & Motorcycle Parts (NEC)","Consumer Discretionary, Automobiles & Components, Automobile Components, Automotive Parts & Equipment",14998762270,1.629061,-7.346563,-4.366567,-0.002111,13.398745
Hoya Corp,7741.T,Tokyo Stock Exchange,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Supplies",58972406921,9.646665,17.226092,10.117644,10.452206,61.424419
Ionis Pharmaceuticals Inc,IONS.O,NASDAQ Global Select Consolidated,Biotechnology & Medical Research (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",11760019263,24.044743,-10.011377,-5.384266,-13.736751,116.382979
Evergy Inc,EVRG.O,NASDAQ Global Select Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",19028167451,--,13.988136,19.849274,4.015618,24.050443
Renesas Electronics Corp,6723.T,Tokyo Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",28899256508,1.884754,15.023364,8.048486,10.362209,8.915929
GoDaddy Inc,GDDY.K,NYSE Consolidated,IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",10831021382,50.353423,-34.542231,-32.436924,-18.07903,-52.896828
Daqin Railway Co Ltd,601006.SS,Shanghai Stock Exchange,Railway Freight Operators,"Industrials, Transportation, Ground Transportation, Rail Transportation",15662759539,0.694623,3.488372,0.289089,-2.135977,-17.719569
Roivant Sciences Ltd,ROIV.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",20082573904,4.284186,29.308756,35.957662,23.955595,169.289827
National Bank of Canada,NA.TO,The Toronto Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",50968654758,2.280829,4.611552,1.946044,6.072848,56.867344
Guardant Health Inc,GH.O,NASDAQ Global Select Consolidated,Laboratory Diagnostic & Testing Substances,"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Services",11213761001,--,-16.301155,-11.997457,-15.933605,110.359252
Ruijie Networks Co Ltd,301165.SZ,Shenzhen Stock Exchange,Internet Service Providers,"Information Technology, Technology Hardware & Equipment, Communications Equipment",10647132854,15.986432,3.536036,-2.996679,--,68.23415
CenterPoint Energy Inc,CNP,NYSE Consolidated,Multiline Utilities,"Utilities, Multi-Utilities",28789724412,2.581344,14.788732,18.480663,3.748502,27.15978
Karman Holdings Inc,KRMN.K,NYSE Consolidated,Aerospace & Defense (NEC),"Industrials, Capital Goods, Aerospace & Defense",13229597051,67.499194,36.6407,41.035451,27.792556,225.243982
Huatai Securities Co Ltd,601688.SS,Shanghai Stock Exchange,Investment Banking & Brokerage Services (NEC),"Financials, Financial Services, Capital Markets, Investment Banking & Brokerage",24400251062,0.925415,-16.701992,-19.277102,-10.127278,11.647727
China Mobile Ltd,600941.SS,Shanghai Stock Exchange,Integrated Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Wireless Telecommunication Services",224850119627,1.562359,-3.127165,-6.121932,-8.391975,-7.467625
Carlyle Group Inc,CG.O,NASDAQ Global Select Consolidated,Investment Management,"Financials, Financial Services, Capital Markets, Asset Management & Custody Banks",16483847497,2.861034,-22.788022,-18.817872,-6.494572,12.691358
China Pacific Insurance Group Co Ltd,601601.SS,Shanghai Stock Exchange,Life & Health Insurance (NEC),"Financials, Insurance, Multi-line Insurance",50906356514,1.293091,-6.537819,-9.427148,0.839154,27.922926
TDK Corp,6762.T,Tokyo Stock Exchange,Electronic Equipment & Parts (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",26279258095,2.326062,-2.578019,-8.48557,-6.525904,39.462609
AvalonBay Communities Inc,AVB,NYSE Consolidated,Residential REITs,"Real Estate, Equity Real Estate Investment Trusts (REITs), Residential REITs, Multi-Family Residential REITs",23668503598,2.038396,-6.811538,-3.814334,4.88894,-18.714519
Garmin Ltd,GRMN.K,NYSE Consolidated,Communications & Networking (NEC),"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Consumer Electronics",44948123421,5.009507,15.119546,18.822117,14.80237,11.534604
Rongsheng Petrochemical Co Ltd,002493.SZ,Shenzhen Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",19807567951,3.102115,16.310845,8.97209,--,56.551724
Screen Holdings Co Ltd,7735.T,Tokyo Stock Exchange,Semiconductor Equipment & Testing (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",11119583505,4.211875,21.883202,14.492352,16.944061,70.491051
Zillow Group Inc,Z.O,NASDAQ Global Select Consolidated,Real Estate Services (NEC),"Real Estate, Real Estate Management & Development, Real Estate Services",10253837048,--,-37.115215,-33.881753,--,-37.253181
Kia Corp,000270.KS,Korea Exchange - KSE,Automobiles & Multi Utility Vehicles,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",42966900154,1.748668,34.893268,3.597284,-0.633953,63.645418
Hangzhou Hikvision Digital Technology Co Ltd,002415.SZ,Shenzhen Stock Exchange,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Equipment & Instruments",42616139018,3.628745,7.037534,0.283888,--,-3.679131
Sun Life Financial Inc,SLF.TO,The Toronto Stock Exchange,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",34791587694,1.945504,0.548553,-2.013429,7.88523,9.913243
SK Square Co Ltd,402340.KS,Korea Exchange - KSE,Online Services (NEC),"Industrials, Capital Goods, Industrial Conglomerates",47246963547,--,45.108696,11.442676,31.981945,479.175705
Willis Towers Watson PLC,WTW.O,NASDAQ Global Select Consolidated,Insurance Brokers,"Financials, Insurance, Insurance Brokers",27374820754,3.432149,-11.886792,-7.356113,-0.301126,-9.263554
DaVita Inc,DVA,NYSE Consolidated,Healthcare Facilities & Services (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Services",10068096000,--,32.664378,36.93124,33.246953,6.802721
CDW Corp,CDW.O,NASDAQ Global Select Consolidated,Integrated Hardware & Software,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Technology Distributors",14983895182,5.749547,-14.713656,-10.328331,--,-28.954128
Panasonic Holdings Corp,6752.T,Tokyo Stock Exchange,Household Electronics (NEC),"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Consumer Electronics",40215533159,1.364927,29.009143,21.186184,23.781233,45.189099
Viper Energy Inc,VNOM.O,NASDAQ Global Select Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",15821537453,3.557,14.548279,20.438219,-10.180113,6.729378
AES Corp,AES,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",10111210223,2.488607,-1.046025,2.136615,-9.508782,15.553746
"Everpure, Inc",PSTG.K,NYSE Consolidated,Storage Devices,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",20305556413,15.542246,-8.222653,-5.270834,-1.290722,26.699629
Amer Sports Inc,AS,NYSE Consolidated,Sporting Goods Stores,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Apparel, Accessories & Luxury Goods",18801261374,3.240479,-13.413655,-10.628793,-8.482599,21.533258
Daiichi Sankyo Co Ltd,4568.T,Tokyo Stock Exchange,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",33510493729,3.288884,-15.815412,-20.920264,-22.387795,-19.194381
Arch Capital Group Ltd,ACGL.O,NASDAQ Global Select Consolidated,Property & Casualty Insurance (NEC),"Financials, Insurance, Property & Casualty Insurance",33256936320,1.422696,-2.554212,2.456338,-0.136933,3.384581
CGN Power Co Ltd,003816.SZ,Shenzhen Stock Exchange,Nuclear IPPs,"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",29731400430,1.830686,15.159574,7.89346,--,18.630137
Amkor Technology Inc,AMKR.O,NASDAQ Global Select Consolidated,Semiconductor Equipment & Testing (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",10631816618,2.377894,8.890578,14.489605,-13.898319,126.382306
Daikin Industries Ltd,6367.T,Tokyo Stock Exchange,"Heating, Ventilation & Air Conditioning Systems","Industrials, Capital Goods, Building Products",35054834340,1.990839,-5.104582,-10.858925,-21.767974,13.557807
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,AIRP.PA,Euronext Paris,Commodity Chemicals (NEC),"Materials, Chemicals, Industrial Gases",113006744448,3.776233,6.626732,9.833945,-0.601581,-4.685408
Weyerhaeuser Co,WY,NYSE Consolidated,Timber REITs,"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Timber REITs",16906800900,1.793635,-0.970874,2.214183,--,-18.963731
Performance Food Group Co,PFGC.K,NYSE Consolidated,Food Retail & Distribution (NEC),"Consumer Staples, Consumer Staples Distribution & Retail, Food Distributors",13852987262,3.097439,-1.935053,1.218993,-15.470619,17.793214
Hermes International SCA,HRMS.PA,Euronext Paris,Handbags & Luggage,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Apparel, Accessories & Luxury Goods",225730290304,11.411757,-11.734213,-9.079277,5.253249,-24.292643
Engie SA,ENGIE.PA,Euronext Paris,Multiline Utilities,"Utilities, Multi-Utilities",80223321479,2.132643,23.337796,27.047659,3.646904,59.676488
Host Hotels & Resorts Inc,HST.O,NASDAQ Global Select Consolidated,Hospitality REITs,"Real Estate, Equity Real Estate Investment Trusts (REITs), Hotel & Resort REITs",12731218370,1.941326,4.399323,9.767416,--,28.533446
Huntington Ingalls Industries Inc,HII,NYSE Consolidated,Aerospace & Defense (NEC),"Industrials, Capital Goods, Aerospace & Defense",16313577828,3.215765,22.242479,26.174144,14.32669,112.62851
Lattice Semiconductor Corp,LSCC.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",11732152631,16.430344,16.567002,22.560742,18.410652,47.930321
Mahindra and Mahindra Ltd,MAHM.NS,National Stock Exchange of India,Auto & Truck Manufacturers (NEC),"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",38094424355,5.713567,-20.977569,-10.810955,-13.335688,10.879516
Jones Lang LaSalle Inc,JLL,NYSE Consolidated,Real Estate Services (NEC),"Real Estate, Real Estate Management & Development, Real Estate Services",14022177054,1.868926,-11.050019,-8.189136,-4.331638,24.792561
Tyler Technologies Inc,TYL,NYSE Consolidated,Software (NEC),"Information Technology, Software & Services, Software, Application Software",15035842078,4.06068,-22.945258,-20.46696,-0.296413,-36.793697
Samsung Electro-Mechanics Co Ltd,009150.KS,Korea Exchange - KSE,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",20360073215,4.932753,57.058824,20.620309,9.732987,190.007241
Annaly Capital Management Inc,NLY,NYSE Consolidated,Mortgage REITs,"Financials, Financial Services, Mortgage Real Estate Investment Trusts (REITs), Mortgage REITs",15703939295,1.099077,-2.236136,0.908227,--,3.601896
China United Network Communications Ltd,600050.SS,Shanghai Stock Exchange,Integrated Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Wireless Telecommunication Services",23076567777,0.961563,-0.782779,-3.850021,-6.175001,-17.292007
Guangdong Songfa Ceramics Co Ltd,603268.SS,Shanghai Stock Exchange,Shipbuilding (NEC),"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Housewares & Specialties",17407556316,12.650141,47.721276,43.154559,--,216.795267
Medpace Holdings Inc,MEDP.O,NASDAQ Global Select Consolidated,Biotechnology & Medical Research (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Life Sciences Tools & Services",12783213676,27.845831,-19.805929,-15.682443,-0.581259,41.66955
Ally Financial Inc,ALLY.K,NYSE Consolidated,Consumer Leasing,"Financials, Financial Services, Consumer Finance",11170574038,0.847926,-20.203135,-17.636642,2.380062,9.548348
DTE Energy Co,DTE,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Multi-Utilities",31114765459,2.529039,15.963715,19.693437,4.810476,12.704393
Pembina Pipeline Corp,PPL.TO,The Toronto Stock Exchange,Oil & Gas Transportation Services (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Storage & Transportation",25956131681,2.367147,17.19258,14.206507,-5.483276,10.255488
Air China Ltd,601111.SS,Shanghai Stock Exchange,Airlines (NEC),"Industrials, Transportation, Passenger Airlines",17276243339,2.921624,-21.13127,-23.569451,-25.417599,2.496533
Advanced Drainage Systems Inc,WMS,NYSE Consolidated,Plumbing Fixtures & Fittings,"Industrials, Capital Goods, Building Products",10692726952,6.608248,-5.219913,-2.171517,-9.546091,30.373255
Crown Holdings Inc,CCK,NYSE Consolidated,Non-Paper Containers & Packaging (NEC),"Materials, Containers & Packaging, Metal, Glass & Plastic Containers",11907943608,3.970638,2.136545,5.421545,-13.007207,20.746269
Baoshan Iron & Steel Co Ltd,600019.SS,Shanghai Stock Exchange,"Iron, Steel Mills & Foundries","Materials, Metals & Mining, Steel",22546641029,0.772236,-4.563758,-7.514114,-11.217935,-5.827815
Samsung SDI Co Ltd,006400.KS,Korea Exchange - KSE,Batteries & Uninterruptable Power Supplies,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",21185196163,2.296702,43.970315,10.568407,0.588381,94.454039
Range Resources Corp,RRC,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",10241427310,2.371425,23.397618,27.366434,-3.241146,16.150561
Alliant Energy Corp,LNT.O,NASDAQ Global Select Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",18717280942,2.552124,11.96739,17.724623,2.171661,16.969307
Incyte Corp,INCY.O,NASDAQ Global Select Consolidated,Biopharmaceuticals,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",18416800534,3.563982,-6.307583,-1.490028,-10.186288,36.671097
Huaneng Power International Inc,600011.SS,Shanghai Stock Exchange,Fossil Fuel IPPs,"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",16250142537,0.856988,5.227882,1.974823,-0.491005,15.102639
Bank of China Ltd,601988.SS,Shanghai Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",235836520993,0.644023,-5.933682,-8.841688,1.490975,1.125704
OmniVision Integrated Circuits Group Inc,603501.SS,Shanghai Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",20296165866,5.821289,-11.254964,-13.998465,-17.442604,-18.56414
New York Times Co,NYT,NYSE Consolidated,Newspaper Publishing,"Communication Services, Media & Entertainment, Media, Publishing",12787840107,6.264364,14.246615,17.921109,46.080801,65.851108
Extra Space Storage Inc,EXR,NYSE Consolidated,Self-Storage REITs,"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Self-Storage REITs",29848532690,2.222003,8.562433,12.054108,22.193224,-2.16609
Bank of Jiangsu Co Ltd,600919.SS,Shanghai Stock Exchange,Banks (NEC),"Financials, Banks, Regional Banks",28720280973,0.695587,3.365385,0.169904,11.524018,15.09636
ArcelorMittal SA,MT.AS,Euronext Amsterdam,Iron & Steel (NEC),"Materials, Metals & Mining, Steel",39574420200,0.726589,14.428243,8.674044,7.816,56.453305
Sun Hung Kai Properties Ltd,0016.HK,The Stock Exchange of Hong Kong Ltd,"Real Estate Rental, Development & Operations (NEC)","Real Estate, Real Estate Management & Development, Diversified Real Estate Activities",48282144529,0.611588,37.697994,38.58986,19.396665,73.635153
Jinduicheng Molybdenum Co Ltd,601958.SS,Shanghai Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Diversified Metals & Mining",10277934497,4.149735,40.436457,36.094946,30.644695,99.635036
Avic XiAn Aircraft Industry Group Co Ltd,000768.SZ,Shenzhen Stock Exchange,Aerospace & Defense (NEC),"Industrials, Capital Goods, Aerospace & Defense",10883443786,3.555772,5.910165,-0.772348,--,5.370443
Nutanix Inc,NTNX.O,NASDAQ Global Select Consolidated,Cloud Computing Services,"Information Technology, Software & Services, Software, Application Software",10420183291,--,-23.989166,-20.080777,-1.647159,-41.11211
RWE AG,RWEG.DE,Xetra,Multiline Utilities,"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",48419623982,1.233641,25.983208,31.587933,1.153799,78.243201
Grab Holdings Ltd,GRAB.O,NASDAQ Global Select Consolidated,Application Software,"Industrials, Transportation, Ground Transportation, Passenger Ground Transportation",15212787414,2.261116,-25.651303,-21.828379,--,-12.910798
MPI Corp,6223.TWO,Taipei Exchange,Electrical Components,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",10905927351,37.390491,57.777778,39.292213,21.996258,395.810056
Crrc Corp Ltd,601766.SS,Shanghai Stock Exchange,Locomotive Engines & Rolling Stock,"Industrials, Capital Goods, Machinery, Construction Machinery & Heavy Transportation Equipment",25820889527,1.091679,-5.865103,-8.775228,-12.428544,-11.813187
Brown-Forman Corp,BFb,NYSE Consolidated,Distillers & Wineries (NEC),"Consumer Staples, Food, Beverage & Tobacco, Beverages, Distillers & Vintners",10835587091,2.698459,-9.861857,-6.962759,-14.3664,-32.402878
Eversource Energy,ES,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",27448802264,1.694656,8.569731,12.061641,-0.928746,21.610381
Biogen Inc,BIIB.O,NASDAQ Global Select Consolidated,Biopharmaceuticals,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",26644010758,1.459402,3.15927,8.463601,-1.111346,29.6971
Snap-On Inc,SNA,NYSE Consolidated,Industrial Machinery & Equipment (NEC),"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",19131594125,3.225259,6.648288,10.078399,5.734033,13.397513
CNH Industrial NV,CNH,NYSE Consolidated,Heavy Machinery & Vehicles (NEC),"Industrials, Capital Goods, Machinery, Agricultural & Farm Machinery",13216081013,1.709713,15.509761,19.224882,14.519541,-15.139442
Hyatt Hotels Corp,H,NYSE Consolidated,"Hotels, Motels & Cruise Lines (NEC)","Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Hotels, Resorts & Cruise Lines",13159359664,3.947018,-13.111277,-10.31669,--,15.285939
Nippon Steel Corp,5401.T,Tokyo Stock Exchange,Iron & Steel (NEC),"Materials, Metals & Mining, Steel",20006524486,0.592134,-7.572452,-13.177147,-5.208574,-12.918379
Viatris Inc,VTRS.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",15555318376,1.057372,8.514056,14.093724,5.536894,50.445434
International Flavors & Fragrances Inc,IFF,NYSE Consolidated,Food Ingredients,"Materials, Chemicals, Specialty Chemicals",17783787870,1.25645,3.294257,6.616493,0.323255,-12.075281
Takeda Pharmaceutical Co Ltd,4502.T,Tokyo Stock Exchange,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",56650999175,1.301528,17.331954,10.217086,8.17172,27.282926
Jazz Pharmaceuticals PLC,JAZZ.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",10991600492,2.545186,5.029412,10.429903,2.147853,31.238515
TopBuild Corp,BLD,NYSE Consolidated,Building Contractors,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Homebuilding",10333116811,4.461314,-11.980153,-9.149186,-7.926844,24.40206
Bank of Communications Co Ltd,601328.SS,Shanghai Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",83580976199,0.550589,-5.517241,-8.438121,1.940286,-3.792135
Labcorp Holdings Inc,LH,NYSE Consolidated,Healthcare Facilities & Services (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Services",21737120000,2.521766,5.149872,8.53179,5.611622,11.945682
Hasbro Inc,HAS.O,NASDAQ Global Select Consolidated,Toys & Children's Products (NEC),"Consumer Discretionary, Consumer Durables & Apparel, Leisure Products",13140049797,24.401207,13.902439,19.759171,-0.005429,57.504216
Cincinnati Financial Corp,CINF.O,NASDAQ Global Select Consolidated,Property & Casualty Insurance (NEC),"Financials, Insurance, Property & Casualty Insurance",25493271300,1.602242,0.306147,5.463774,2.794381,15.374322
ASM International NV,ASMI.AS,Euronext Amsterdam,Semiconductor Machinery Manufacturing,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",38631040692,9.030687,32.534776,25.870063,15.03573,56.728353
Borgwarner Inc,BWA,NYSE Consolidated,"Auto, Truck & Motorcycle Parts (NEC)","Consumer Discretionary, Automobiles & Components, Automobile Components, Automotive Parts & Equipment",10468385710,1.923628,12.205948,15.814808,21.100289,82.00144
Principal Financial Group Inc,PFG.O,NASDAQ Global Select Consolidated,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",18610960152,1.566065,-2.698107,2.305044,6.887022,6.568165
Paramount Skydance Corp,PSKY.O,NASDAQ Global Select Consolidated,"Movie, TV Production & Distribution","Communication Services, Media & Entertainment, Media, Broadcasting",10806123579,0.924153,-27.462687,-23.732902,--,-16.494845
Iron Mountain Inc,IRM,NYSE Consolidated,Specialized REITs (NEC),"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Other Specialized REITs",31607033409,--,28.800482,32.94307,--,25.546416
Sumitomo Corp,8053.T,Tokyo Stock Exchange,Diversified Industrial Goods Wholesale,"Industrials, Capital Goods, Trading Companies & Distributors",42365338533,1.452108,2.956393,-3.286758,-14.075951,62.686131
Bayer AG,BAYGn.DE,Xetra,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",43330517552,1.462826,4.390705,9.034825,-2.99752,68.71179
BE Semiconductor Industries NV,BESI.AS,Euronext Amsterdam,Semiconductor Machinery Manufacturing,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",17147130190,36.071973,38.392523,31.433244,20.120058,75.95057
Diageo PLC,DGE.L,London Stock Exchange,Distillers & Wineries (NEC),"Consumer Staples, Food, Beverage & Tobacco, Beverages, Distillers & Vintners",43200486148,3.895445,-8.481447,-11.422645,-8.393408,-29.531813
Westlake Corp,WLK,NYSE Consolidated,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",14331074269,1.630013,51.528266,56.401844,32.254553,5.978055
"VeriSign, Inc",VRSN.O,NASDAQ Global Select Consolidated,IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",21879620000,--,-1.790492,3.259327,--,2.157904
Jiangsu Hengli Hydraulic Co Ltd,601100.SS,Shanghai Stock Exchange,Industrial Machinery & Equipment (NEC),"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",21023223636,9.154296,-2.010736,-5.040017,--,27.034678
F5 Inc,FFIV.O,NASDAQ Global Select Consolidated,IT Services & Consulting (NEC),"Information Technology, Technology Hardware & Equipment, Communications Equipment",16351590871,4.552226,13.33934,19.167118,6.21785,12.388315
Quest Diagnostics Inc,DGX,NYSE Consolidated,Healthcare Facilities & Services (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Services",21940304104,3.060015,15.080966,18.782295,15.586326,18.291672
Zhejiang Juhua Co Ltd,600160.SS,Shanghai Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",15218472864,5.856551,0.780843,-2.334738,-6.245979,50.077519
Check Point Software Technologies Ltd,CHKP.O,NASDAQ Global Select Consolidated,Security Software,"Information Technology, Software & Services, Software, Systems Software",16495053035,5.913477,-17.196594,-12.938939,0.741604,-28.501629
Legal & General Group PLC,LGEN.L,London Stock Exchange,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",18555106185,3.95533,-5.956472,-8.978817,0.439602,2.496879
Clean Harbors Inc,CLH,NYSE Consolidated,Environmental Services & Equipment (NEC),"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Environmental & Facilities Services",15287559627,5.5679,23.221597,27.184752,19.179754,52.389241
Royalty Pharma PLC,RPRX.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",26333510774,4.065758,18.141822,24.216538,14.900515,39.687882
